promotion_shown,n,mean_conversion,mean_basket_size_among_converters,mean_price_charged_among_converters,mean_contribution_profit,total_contribution_profit
discount_10,2032,0.5019685039370079,1.7009803921568627,8.74505882352941,1.904345472440945,3869.63
no_discount,2015,0.41935483870967744,1.7254437869822485,9.9058224852071,1.8864317617866004,3801.16
discount_5,1987,0.4489179667840966,1.6917040358744395,9.234921524663676,1.7084197282335178,3394.63
bundle,1950,0.44461538461538463,2.3656286043829295,8.992964244521337,1.5745025641025643,3070.28
discount_15,2016,0.5104166666666666,1.7249757045675413,8.484878522837707,1.5494940476190477,3123.78
