policy,avg_final_profit,sd_final_profit,avg_final_regret,sd_final_regret,avg_reward,avg_conversion,oracle_best_arm,oracle_mu_star
ucb1_c1.00,19006.606,291.8730140489187,4.767333333333954,291.8730140489186,1.9006605999999997,0.49689999999999995,discount_10,1.9011373333333335
eps_greedy_0.10,18483.032,263.8304434101562,528.3413333333331,263.83044341015614,1.8483032000000001,0.47750000000000004,discount_10,1.9011373333333335
etc_m200,18196.942,782.1198731460549,814.4313333333332,782.119873146054,1.8196942,0.44486,discount_10,1.9011373333333335
random,16933.894,243.59403929488977,2077.4793333333337,243.59403929488954,1.6933893999999998,0.45892,discount_10,1.9011373333333335
